Score,Number of hands,Percentage of hands,Percentage of hands at least as high
0,14485964652,0.624983,100
1,3051673908,0.131662,99.375017
2,80817415668,3.486789,99.243356
3,23841719688,1.028628,95.756566
4,1.91E+11,8.226424,94.727938
5,70259798952,3.031291,86.501514
6,2.73E+11,11.7608,83.470222
7,1.21E+11,5.22976,71.709422
8,2.90E+11,12.527446,66.479663
9,1.51E+11,6.530853,53.952217
10,2.54E+11,10.960843,47.421364
11,1.41E+11,6.091267,36.460521
12,1.89E+11,8.165145,30.369254
13,98997926340,4.27117,22.204109
14,1.27E+11,5.486372,17.932939
15,59538803512,2.568744,12.446567
16,77975659056,3.364185,9.877823
17,32518272336,1.402969,6.513638
18,42557293000,1.836093,5.110669
19,17654681828,0.761694,3.274576
20,22185433540,0.957169,2.512881
21,8921801484,0.384923,1.555712
22,10221882860,0.441013,1.17079
23,4016457976,0.173286,0.729776
24,5274255192,0.227553,0.55649
25,1810154696,0.078097,0.328938
26,2305738180,0.099479,0.25084
27,750132024,0.032364,0.151361
28,1215878408,0.052458,0.118998
29,401018276,0.017302,0.06654
30,475531940,0.020516,0.049238
31,184802724,0.007973,0.028722
32,233229784,0.010062,0.020749
33,82033028,0.003539,0.010686
34,71371352,0.003079,0.007147
35,19022588,0.000821,0.004068
36,44459120,0.001918,0.003247
37,9562040,0.000413,0.001329
38,10129244,0.000437,0.000916
39,1633612,0.00007,0.000479
40,5976164,0.000258,0.000409
41,1517428,0.000065,0.000151
42,600992,0.000026,0.000085
43,127616,0.000006,0.00006
44,832724,0.000036,0.000054
45,222220,0.00001,0.000018
46,42560,0.000002,0.000009
47,24352,0.000001,0.000007
48,119704,0.000005,0.000006
49,6168,0,0
50,384,0,0
51,0,0,0
52,4320,0,0
53,288,0,0
